filename,proj_no,hole_no,top_depth,bottom_depth,coord_x,coord_y,elevation
03795904-10207_BH-3_25.0m-30.0m.jpg,03795904-10207,BH-3,25.0,30.0,121.594334,24.643795,189.7
03795904-10207_BH-3_30.0m-35.0m.jpg,03795904-10207,BH-3,30.0,35.0,121.594334,24.643795,189.7
03795904-10207_BH-3_35.0m-40.0m.jpg,03795904-10207,BH-3,35.0,40.0,121.594334,24.643795,189.7
03795904-10207_BH-3_40.0m-45.0m.jpg,03795904-10207,BH-3,40.0,45.0,121.594334,24.643795,189.7
03795904-10207_BH-3_45.0m-50.0m.jpg,03795904-10207,BH-3,45.0,50.0,121.594334,24.643795,189.7
03795904-10207_BH-3_5.0m-10.0m.jpg,03795904-10207,BH-3,5.0,10.0,121.594334,24.643795,189.7
03795904-10207_BH-4_0.0m-5.0m.jpg,03795904-10207,BH-4,0.0,5.0,121.594595,24.644022,174.0
03795904-10207_BH-4_10.0m-15.0m.jpg,03795904-10207,BH-4,10.0,15.0,121.594595,24.644022,174.0
03795904-10207_BH-4_15.0m-20.0m.jpg,03795904-10207,BH-4,15.0,20.0,121.594595,24.644022,174.0
03795904-10207_BH-4_20.0m-25.0m.jpg,03795904-10207,BH-4,20.0,25.0,121.594595,24.644022,174.0
03795904-10207_BH-4_25.0m-30.0m.jpg,03795904-10207,BH-4,25.0,30.0,121.594595,24.644022,174.0
03795904-10207_BH-4_30.0m-35.0m.jpg,03795904-10207,BH-4,30.0,35.0,121.594595,24.644022,174.0
03795904-10207_BH-4_35.0m-40.0m.jpg,03795904-10207,BH-4,35.0,40.0,121.594595,24.644022,174.0
03795904-10207_BH-4_40.0m-45.0m.jpg,03795904-10207,BH-4,40.0,45.0,121.594595,24.644022,174.0
03795904-10207_BH-4_45.0m-50.0m.jpg,03795904-10207,BH-4,45.0,50.0,121.594595,24.644022,174.0
03795904-10207_BH-4_5.0m-10.0m.jpg,03795904-10207,BH-4,5.0,10.0,121.594595,24.644022,174.0
03795904-10207_BH-5_0.0m-5.0m.jpg,03795904-10207,BH-5,0.0,5.0,121.615003,24.654897,172.5
03795904-10207_BH-5_10.0m-15.0m.jpg,03795904-10207,BH-5,10.0,15.0,121.615003,24.654897,172.5
03795904-10207_BH-5_15.0m-20.0m.jpg,03795904-10207,BH-5,15.0,20.0,121.615003,24.654897,172.5
03795904-10207_BH-5_20.0m-25.0m.jpg,03795904-10207,BH-5,20.0,25.0,121.615003,24.654897,172.5
03795904-10207_BH-5_25.0m-30.0m.jpg,03795904-10207,BH-5,25.0,30.0,121.615003,24.654897,172.5
03795904-10207_BH-5_30.0m-35.0m.jpg,03795904-10207,BH-5,30.0,35.0,121.615003,24.654897,172.5
